Number of frames: 3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
21,0.844083905,0.525458753,0.106843203,0.529811978,-0.786594808,-0.317124307,-0.082593448,0.324286342,-0.942346394,-3.942633152,6.149708748,58.95910645,0.343212903,-0.701112509,0.711638927,-0.044847567,0.710554004,0.702533066,0.039502058,0.059618097,-0.00417123,-0.998212576,141.9702759,-242.5108185,-1590.672974,0.143737048,-0.031702258,0.99859488,0.042464249,-0.989973962,-0.037222773,0.136257127,0.137646303,-0.037718844,0.989763021,-125.1684723,285.8981934,-138.2202301,0.109107397
22,0.844612658,0.525200427,0.10389372,0.528553426,-0.787109494,-0.317946315,-0.085209817,0.323454887,-0.942399204,-3.962509871,6.14136219,58.98472214,0.345641136,-0.701113403,0.711637676,-0.044852879,0.71053803,0.702535272,0.039748117,0.059796985,-0.004001736,-0.998202503,141.972641,-242.5115662,-1590.67627,0.144411519,-0.031648029,0.998597324,0.042446442,-0.990021706,-0.037154026,0.135928437,0.137314841,-0.037721034,0.989808917,-125.1446686,285.9182739,-138.1985168,0.109554105
23,0.845006287,0.525172889,0.100786261,0.527418554,-0.787360311,-0.319207668,-0.088284098,0.32288903,-0.942310274,-3.975534439,6.146487713,58.99635315,0.345567167,-0.701064765,0.711676478,-0.044997502,0.710573792,0.702495575,0.039810181,0.059942517,-0.004064531,-0.998193562,141.9727478,-242.5111847,-1590.677246,0.143819064,-0.031730495,0.998593211,0.042482499,-0.99002564,-0.037238784,0.135877073,0.137267917,-0.037747316,0.989814401,-125.1073608,285.9173584,-138.2357941,0.109971449
24,0.845125616,0.525532603,0.097868681,0.526685476,-0.787266076,-0.32064712,-0.091461822,0.322533071,-0.942129076,-3.962067366,6.150637627,58.99215317,0.346241176,-0.701100111,0.711645782,-0.044931613,0.710556388,0.702526033,0.039582364,0.059734251,-0.004175247,-0.998205543,141.976059,-242.508606,-1590.677002,0.144213691,-0.031692758,0.998590231,0.042580746,-0.989961326,-0.037232824,0.136346355,0.137739539,-0.0378321,0.989745736,-125.1491776,285.8961182,-138.2396088,0.109158471
25,0.844818652,0.526547432,0.095022082,0.526600659,-0.786814451,-0.32189244,-0.094726898,0.321979433,-0.9419958,-3.961990833,6.128633499,58.99523544,0.346666127,-0.701194167,0.71157515,-0.044580624,0.710485339,0.702598929,0.039563306,0.059474569,-0.003932319,-0.998222053,141.9788818,-242.5093689,-1590.675171,0.144162819,-0.031513818,0.99858427,0.042852219,-0.990003049,-0.037082773,0.136084005,0.137480423,-0.038135301,0.989770114,-125.2168579,285.9150085,-138.1404266,0.109398805
26,0.844425321,0.527421892,0.093659312,0.526931167,-0.786390245,-0.322387844,-0.096381634,0.321584463,-0.941962838,-3.955544949,6.133917332,59.02765274,0.348687589,-0.701190948,0.711582363,-0.044516742,0.710491538,0.702591896,0.039576191,0.059438828,-0.003878303,-0.998224378,141.9776917,-242.5094452,-1590.676636,0.144898057,-0.031533845,0.998558462,0.043435272,-0.989982784,-0.037187565,0.136202514,0.137621418,-0.038705185,0.989728391,-125.2194595,285.9238281,-138.1212921,0.109253205
27,0.843737125,0.528424323,0.094209373,0.5280146,-0.785562992,-0.322631925,-0.096479163,0.321960479,-0.941824436,-3.987013578,6.141872406,59.0438118,0.347360164,-0.701108336,0.711636543,-0.044951163,0.710525751,0.702536881,0.039939623,0.060002338,-0.003936954,-0.998190463,141.9784088,-242.509964,-1590.679688,0.143017709,-0.03173231,0.998582959,0.04272265,-0.989964247,-0.037290189,0.136309296,0.13770926,-0.037968487,0.989744663,-125.1177826,285.9261169,-138.2091217,0.109111637
28,0.842559576,0.529992342,0.095924318,0.529948115,-0.783966601,-0.323343903,-0.096168332,0.323271424,-0.941407025,-3.984143734,6.132283688,58.99967575,0.345313549,-0.701117396,0.711628377,-0.04493814,0.710529923,0.702544272,0.039733659,0.059846632,-0.004071931,-0.998199224,141.9760284,-242.5095978,-1590.676758,0.143509269,-0.031776682,0.998584151,0.042660125,-0.989988565,-0.037318494,0.136124939,0.137524217,-0.037907436,0.989772797,-125.1417847,285.9072571,-138.2255402,0.109547831
29,0.841149926,0.531602442,0.099326059,0.532704711,-0.782797396,-0.321642578,-0.093233809,0.323461086,-0.941637099,-3.927420139,6.108641624,59.02450943,0.347310156,-0.701249719,0.711547792,-0.044142816,0.710445344,0.702629089,0.039747324,0.059298143,-0.003488258,-0.998234212,141.9734497,-242.5107574,-1590.678223,0.144874543,-0.03148989,0.998566628,0.043279607,-0.990086555,-0.037094072,0.135472283,0.136883512,-0.038584549,0.989835441,-125.2611771,285.967804,-137.9928894,0.109645739
30,0.83965534,0.533581316,0.101340212,0.535111725,-0.780823708,-0.322443426,-0.092920944,0.324969679,-0.94114846,-3.940279007,6.131765366,59.01537323,0.344910204,-0.701175034,0.711591899,-0.044615164,0.710504234,0.702581704,0.039529312,0.059474543,-0.003982299,-0.998221815,141.9707794,-242.5108643,-1590.678711,0.145028621,-0.031627044,0.998573959,0.043008912,-0.989997149,-0.037216835,0.136089891,0.137496471,-0.038274582,0.989762485,-125.2095337,285.9127808,-138.1555939,0.109210245
