Number of frames: 3950
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumTracker R00,HumTracker R01,HumTracker R02,HumTracker R10,HumTracker R11,HumTracker R12,HumTracker R20,HumTracker R21,HumTracker R22,HumTracker x,HumTracker y,HumTracker z,HumTracker Error,StemTracker R00,StemTracker R01,StemTracker R02,StemTracker R10,StemTracker R11,StemTracker R12,StemTracker R20,StemTracker R21,StemTracker R22,StemTracker x,StemTracker y,StemTracker z,StemTracker Error
34, 0.523964584, 0.851546764, 0.018142756, 0.782531559,-0.472869694,-0.405016840,-0.336311638, 0.226411760,-0.914129198,-11.591519356, 2.031661272,63.123748779, 0.355088413,-0.716881990, 0.695605576, 0.047043979, 0.695737422, 0.718113482,-0.016200045,-0.045051757, 0.021116735,-0.998761415,133.326293945,-93.311058044,-1460.948364258, 0.132691696,,,,,,,,,,,,,,
35, 0.523832083, 0.851619303, 0.018559281, 0.782780945,-0.472668409,-0.404769659,-0.335937291, 0.226559192,-0.914230287,-11.600423813, 2.041399956,63.112297058, 0.353195488,-0.716877520, 0.695623636, 0.046844792, 0.695748329, 0.718101442,-0.016266841,-0.044954911, 0.020930853,-0.998769760,133.327468872,-93.311119080,-1460.950561523, 0.132783815,,,,,,,,,,,,,,
36, 0.523622751, 0.851745605, 0.018672356, 0.783081353,-0.472546518,-0.404330820,-0.335563421, 0.226338789,-0.914422214,-11.604035378, 2.049360514,63.126415253, 0.353049874,-0.716849983, 0.695659041, 0.046739116, 0.695779383, 0.718070149,-0.016315026,-0.044911664, 0.020824688,-0.998773873,133.328887939,-93.311157227,-1460.951416016, 0.132499740,,,,,,,,,,,,,,
37, 0.523541331, 0.851793945, 0.018747412, 0.783083379,-0.472406924,-0.404489934,-0.335685700, 0.226447999,-0.914350271,-11.595919609, 2.079523325,63.128231049, 0.353700817,-0.716836989, 0.695686817, 0.046525866, 0.695786715, 0.718054950,-0.016673325,-0.045007538, 0.020420024,-0.998777986,133.330078125,-93.310249329,-1460.951416016, 0.131741717,,,,,,,,,,,,,,
38, 0.523700893, 0.851691604, 0.018941006, 0.782932639,-0.472419620,-0.404766798,-0.335788399, 0.226806283,-0.914223790,-11.604279518, 2.089324474,63.129344940, 0.353110641,-0.716887951, 0.695649564, 0.046296358, 0.695742905, 0.718096435,-0.016714446,-0.044872649, 0.020227976,-0.998787880,133.332046509,-93.310531616,-1460.953613281, 0.131009519,,,,,,,,,,,,,,
39, 0.524029553, 0.851497233, 0.018585060, 0.782639146,-0.472815990,-0.404871523,-0.335959673, 0.226710051,-0.914184690,-11.598212242, 2.070035458,63.144706726, 0.355103642,-0.716882646, 0.695635021, 0.046595909, 0.695741415, 0.718101442,-0.016557893,-0.044978838, 0.020548636,-0.998776555,133.333755493,-93.310554504,-1460.954956055, 0.131796017,,,,,,,,,,,,,,
40, 0.524498582, 0.851214647, 0.018297404, 0.782121956,-0.473210722,-0.405409515,-0.336432010, 0.226947531,-0.913952053,-11.619590759, 2.070379496,63.133365631, 0.354743153,-0.716857314, 0.695677876, 0.046345916, 0.695786834, 0.718061388,-0.016387826,-0.044679858, 0.020499146,-0.998791099,133.334320068,-93.310867310,-1460.958374023, 0.131546959,,,,,,,,,,,,,,
41, 0.524485290, 0.851239204, 0.017521475, 0.781924546,-0.473430216,-0.405533940,-0.336911201, 0.226397052,-0.913912058,-11.597803116, 2.073118687,63.131732941, 0.353470385,-0.716820061, 0.695704997, 0.046514478, 0.695806146, 0.718036830,-0.016641960,-0.044977002, 0.020435767,-0.998778999,133.333938599,-93.311378479,-1460.957031250, 0.131115273,,,,,,,,,,,,,,
42, 0.524178505, 0.851441145, 0.016878819, 0.781975448,-0.473374277,-0.405501276,-0.337270468, 0.225753874,-0.913938642,-11.598287582, 2.074203014,63.139701843, 0.353461921,-0.716854811, 0.695669413, 0.046511289, 0.695769846, 0.718071759,-0.016653650,-0.044983875, 0.020422902,-0.998778999,133.334854126,-93.311798096,-1460.953125000, 0.131025538,,,,,,,,,,,,,,
43, 0.523855329, 0.851642072, 0.016772604, 0.782056987,-0.473062575,-0.405707568,-0.337583154, 0.225649208,-0.913848996,-11.601185799, 2.096965551,63.128402710, 0.353730410,-0.716914535, 0.695629597, 0.046184931, 0.695711553, 0.718122065,-0.016914984,-0.044932980, 0.020004794,-0.998789668,133.332260132,-93.311042786,-1460.954345703, 0.131258696,,,,,,,,,,,,,,
44, 0.523688376, 0.851746917, 0.016661000, 0.781984866,-0.472852349,-0.406091452,-0.338008970, 0.225694045,-0.913680494,-11.594001770, 2.101469040,63.112976074, 0.354071647,-0.716868758, 0.695676446, 0.046189647, 0.695752144, 0.718079388,-0.017059242,-0.045035545, 0.019907307,-0.998787045,133.328857422,-93.310401917,-1460.953979492, 0.131486163,,,,,,,,,,,,,,
45, 0.523772717, 0.851699889, 0.016413698, 0.781921744,-0.473036706,-0.405998409,-0.338024527, 0.225485116,-0.913726389,-11.593658447, 2.081013441,63.131458282, 0.353936255,-0.716836154, 0.695690811, 0.046478700, 0.695783257, 0.718054891,-0.016817108,-0.045073766, 0.020283991,-0.998777747,133.325408936,-93.310760498,-1460.949829102, 0.130898461,,,,,,,,,,,,,,
46, 0.524012685, 0.851552069, 0.016426632, 0.781546593,-0.473089457,-0.406658709,-0.338519782, 0.225932494,-0.913432479,-11.586382866, 2.069737196,63.130855560, 0.354878962,-0.716824532, 0.695691347, 0.046649475, 0.695786536, 0.718051374,-0.016833041,-0.045207318, 0.020391740,-0.998769462,133.323883057,-93.311203003,-1460.952270508, 0.132016554,,,,,,,,,,,,,,
47, 0.524260700, 0.851408601, 0.015940266, 0.780928016,-0.473229021,-0.407683432,-0.339561790, 0.226180598,-0.912984192,-11.580399513, 2.093428612,63.170227051, 0.355889291,-0.716813922, 0.695710421, 0.046526533, 0.695792496, 0.718039989,-0.017068567,-0.045282692, 0.020137828,-0.998771191,133.323913574,-93.312843323,-1460.952270508, 0.132013142,,,,,,,,,,,,,,
48, 0.524594903, 0.851196229, 0.016284613, 0.780455768,-0.473179460,-0.408644140,-0.340130776, 0.227082059,-0.912548542,-11.600822449, 2.096819878,63.167964935, 0.354137152,-0.716815412, 0.695727706, 0.046246160, 0.695808947, 0.718026638,-0.016963188,-0.045007732, 0.020019015,-0.998786032,133.323959351,-93.314208984,-1460.954345703, 0.131611601,,,,,,,,,,,,,,
49, 0.524760902, 0.851099133, 0.016005673, 0.780221999,-0.473371208,-0.408868223,-0.340410799, 0.227046058,-0.912453055,-11.597066879, 2.081596613,63.194149017, 0.355389297,-0.716792047, 0.695736170, 0.046479203, 0.695828676, 0.718010843,-0.016817257,-0.045072947, 0.020287087,-0.998777688,133.325942993,-93.313835144,-1460.956298828, 0.132710561,,,,,,,,,,,,,,
50, 0.524727643, 0.851125956, 0.015669724, 0.780237973,-0.473500282,-0.408688426,-0.340425700, 0.226676226,-0.912539482,-11.596603394, 2.075484753,63.216739655, 0.356627673,-0.716814578, 0.695709169, 0.046535853, 0.695805132, 0.718034923,-0.016765222,-0.045078088, 0.020362331,-0.998775899,133.328674316,-93.313842773,-1460.953491211, 0.133173674,,,,,,,,,,,,,,
51, 0.524543166, 0.851243138, 0.015478953, 0.780402720,-0.473464131,-0.408415586,-0.340332240, 0.226311430,-0.912664831,-11.584853172, 2.088609219,63.200206757, 0.354480892,-0.716797233, 0.695731163, 0.046474166, 0.695814550, 0.718019903,-0.017018132,-0.045209419, 0.020138849,-0.998774469,133.330627441,-93.313186646,-1460.953857422, 0.132441834,,,,,,,,,,,,,,
52, 0.524066389, 0.851547003, 0.014903714, 0.780725837,-0.473341256,-0.407940179,-0.340325713, 0.225423455,-0.912886977,-11.586989403, 2.081626654,63.195671082, 0.354467988,-0.716769874, 0.695757151, 0.046507109, 0.695840061, 0.717994511,-0.017043171,-0.045249760, 0.020145478,-0.998772502,133.332275391,-93.312522888,-1460.953735352, 0.132282957,,,,,,,,,,,,,,
